well,scenario,depth_m,temp_c,permeability_mD,thickness_m,porosity_pct,transmissivity_Dm,flow_rate_m3h,power_MW_calc,power_MW_thermogis,delta_T
BLT-01,P90,1837.0,77.0,13.0,67.0,17.0,1.3,17.0,0.93,0.6,47.0
BLT-01,P50,1837.0,77.0,82.0,130.0,17.0,9.3,105.0,5.74,5.1,47.0
BLT-01,P10,1837.0,77.0,521.0,194.0,17.0,66.1,469.0,25.63,23.7,47.0
EVD-01,P90,1723.0,72.0,3.0,39.0,9.0,0.2,0.0,0.0,0.0,42.0
EVD-01,P50,1723.0,72.0,6.0,76.0,9.0,0.4,0.0,0.0,0.0,42.0
EVD-01,P10,1723.0,72.0,11.0,113.0,9.0,0.9,0.0,0.0,0.0,42.0
JUT-01,P90,1776.0,72.0,20.0,88.0,11.0,2.2,26.0,1.27,1.0,42.0
JUT-01,P50,1776.0,72.0,40.0,125.0,11.0,4.8,55.0,2.69,2.3,42.0
JUT-01,P10,1776.0,72.0,81.0,163.0,11.0,10.4,110.0,5.37,4.8,42.0
PKP-01,P90,2255.0,88.0,0.0,21.0,9.0,0.0,0.0,0.0,0.0,58.0
PKP-01,P50,2255.0,88.0,1.0,60.0,9.0,0.1,0.0,0.0,0.0,58.0
PKP-01,P10,2255.0,88.0,6.0,99.0,9.0,0.4,0.0,0.0,0.0,58.0
